,Gare,Latitude,Longitude
316,Boissise-le-Roi,48.529319,2.572953
317,Boissy-l'Aillerie,49.07598,2.02513
318,Bolbec - Nointot,49.5914657,0.48482
319,Bollène La Croisière,44.271525,4.707908
320,Bollwiller,47.8569694,7.2672555
321,Bologne,48.1986877,5.1342228
322,Bolquère - Eyne,42.4978734,2.0875591
323,Bondy,48.894208,2.4786
324,Bonnemain,48.4764049,-1.7654125
325,Bonneval,48.1862958,1.3861845
326,Bonneville,46.077772,6.416524
327,Bonnières-sur-Seine,49.038788,1.582205
328,Bons-en-Chablais,46.270046,6.366246
329,Bonson,45.5221941,4.2163084
330,Boran-sur-Oise,49.1671348,2.362537
331,Bordeaux Saint-Jean,44.825873,-0.556697
332,Bords,45.8944625,-0.7985436
333,Bornel - Belle-Église,49.19471,2.20717
334,Bouaye,47.1380806,-1.6810992
335,Boucau,43.5234217,-1.4905872
336,Bouchain,50.2780892,3.3319096
337,Boucoiran-et-Nozières,43.9926943,4.187634
338,Bouffémont - Moisselles,49.04514,2.32272
339,Bougival,48.8542135,2.1323749
340,Boulainvilliers,48.85645,2.275149
341,Boulogne Tintelleries,50.72729,1.60904
342,Boulogne-sur-Mer,50.7157,1.60964
343,Boulouris sur Mer,43.4163471,6.8082519
344,Bouray,48.533149,2.290596
345,Bourbourg,50.952267,2.1942305
346,Bourg-Bruche,48.3598566,7.1371919
347,Bourg-en-Bresse,46.200351,5.215063
348,Bourg-Lastic - Messeix,45.62749,2.56043
349,Bourg-Madame,42.4324069,1.9486704
350,Bourg-Saint-Maurice,45.619036,6.771273
351,Bourges,47.094145,2.394255
352,Bourgneuf-en-Retz,47.0469634,-1.9551942
353,Bourgoin-Jallieu,45.583954,5.273401
354,Bourgtheroulde - Thuit-Hébert,49.3174381,0.8383198
355,Bournezeau,46.6518258,-1.1806169
356,Bourron-Marlotte - Grez,48.3326884,2.6924552
357,Bourth,48.7658425,0.804747
358,Boussay - La Bruffière,47.0505741,-1.1828046
359,Boussens,43.179617,0.972543
360,Boussy-Saint-Antoine,48.680893,2.532726
361,Bouthéon,45.5246289,4.2777187
362,Boutigny-sur-Essonne,48.43495,2.37636
363,Bouvines,50.5737864,3.2021971
364,Bouy,49.09131,4.35292
365,Bouzonville,49.2899739,6.5293736
366,Boves,49.8462355,2.3981165
