,Date,Température moyenne
593,2020-08-16,23
594,2020-08-17,21
595,2020-08-18,22
596,2020-08-19,21
597,2020-08-20,25
598,2020-08-21,24
599,2020-08-22,21
600,2020-08-23,19
601,2020-08-24,19
602,2020-08-25,21
603,2020-08-26,20
604,2020-08-27,19
605,2020-08-28,18
606,2020-08-29,17
607,2020-08-30,16
608,2020-08-31,16
609,2020-09-01,16
610,2020-09-02,17
611,2020-09-03,21
612,2020-09-04,22
613,2020-09-05,18
614,2020-09-06,16
615,2020-09-07,17
616,2020-09-08,19
617,2020-09-09,21
618,2020-09-10,21
619,2020-09-11,21
620,2020-09-12,19
621,2020-09-13,22
622,2020-09-14,25
623,2020-09-15,27
624,2020-09-16,25
625,2020-09-17,21
626,2020-09-18,21
627,2020-09-19,23
628,2020-09-20,22
629,2020-09-21,21
630,2020-09-22,20
631,2020-09-23,19
632,2020-09-24,13
633,2020-09-25,11
634,2020-09-26,11
635,2020-09-27,12
636,2020-09-28,14
637,2020-09-29,15
638,2020-09-30,17
639,2020-10-01,15
640,2020-10-02,13
641,2020-10-03,12
642,2020-10-04,13
643,2020-10-05,12
644,2020-10-06,14
645,2020-10-07,14
646,2020-10-08,16
647,2020-10-09,15
648,2020-10-10,12
649,2020-10-11,11
650,2020-10-12,11
651,2020-10-13,11
652,2020-10-14,10
653,2020-10-15,9
654,2020-10-16,10
655,2020-10-17,10
656,2020-10-18,11
657,2020-10-19,11
658,2020-10-20,14
659,2020-10-21,17
660,2020-10-22,16
661,2020-10-23,15
662,2020-10-24,14
663,2020-10-25,13
664,2020-10-26,11
665,2020-10-27,10
666,2020-10-28,12
667,2020-10-29,14
668,2020-10-30,15
669,2020-10-31,14
670,2020-11-01,16
671,2020-11-02,17
672,2020-11-03,10
673,2020-11-04,8
674,2020-11-05,8
675,2020-11-06,9
676,2020-11-07,12
677,2020-11-08,14
678,2020-11-09,13
679,2020-11-10,13
680,2020-11-11,12
681,2020-11-12,13
682,2020-11-13,13
683,2020-11-14,14
684,2020-11-15,13
685,2020-11-16,12
686,2020-11-17,11
687,2020-11-18,12
688,2020-11-19,10
689,2020-11-20,7
690,2020-11-21,8
691,2020-11-22,8
692,2020-11-23,9
693,2020-11-24,8
694,2020-11-25,9
695,2020-11-26,7
696,2020-11-27,7
697,2020-11-28,7
698,2020-11-29,6
699,2020-11-30,4
700,2020-12-01,8
701,2020-12-02,7
